experiment_name,run,split,rows,seconds,comet,original_total_linear_bytes_est,compressed_total_linear_bytes_est,compression_ratio_est,size_scope,compression_method,model_id,max_new_tokens,model_size_on_disk_gb,compression_ratio_disk,summary_path,source_root,source_priority,timestamp_utc,seconds_per_item,prompt_text,comet_batch_size,predictions_csv,quantization_method,precision,layer_subset,codec_digits,codec_zstd_level,selected_layer_count,selected_layers_json,storage_report_csv,method,prune_ratio,prune_scoring,apply_codec_after_pruning,current_total_linear_bytes_est,pruning_policy_csv,eval_split_source,original_total_bytes,compressed_total_bytes,compression_ratio,current_total_bytes,method_label,precision_clean,orig_bytes_est,comp_bytes_est,orig_gb_est,comp_gb_est,original_total_gb_filled,effective_current_total_gb,effective_compression_ratio,method_display,baseline_comet_for_split,comet_delta_vs_baseline,has_current_gb,is_stale_partial_scope,has_delta
custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh,selected_layer_codec_all_selected_q3_eval,eval,416,312.69800448417664,0.7766893485274452,15500451840.0,11072301600.0,1.3999304209704693,estimated_linear_layers,Selected-layer codec subset=all_selected q3 + Zstd,Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh/selected_layer_codec_eval_summary.csv,live,0,2026-03-20 15:35:24.055689+00:00,0.7516778953946553,Translate this English speech into Chinese.,16.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh/selected_layer_codec_eval_preds.csv,custom_selected_linear_codec,custom,all_selected,3.0,3.0,96.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh/selected_layers.json,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh/selected_layer_codec_storage_report.csv,,,,,,,,,,,,custom_selected_linear_codec,custom,15500451840.0,11072301600.0,14.435920715332031,10.311884433031082,14.436,10.311884433031082,1.3999381096396435,custom_selected_linear_codec,0.7791628381237388,-0.0024734895962935655,1,0,1
custom_codec_global_q2_zstd_eval_only_en_zh,custom_codec_global_eval,eval,416,347.88200974464417,0.7410914550463741,15500451840.0,3895499044.0,3.9790670373477313,estimated_linear_layers,"Global custom codec: Quantize(digits=2, astype=""f2"") + Zstd",Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_codec_global_q2_zstd_eval_only_en_zh/custom_codec_global_eval_summary.csv,live,0,,,,,,,,,,,,,,,,,,,,,,,,,global_codec,nan,15500451840.0,3895499044.0,14.435920715332031,3.6279661990702152,14.436,3.6279661990702152,3.979088891098185,global_codec,0.7791628381237388,-0.038071383077364684,1,0,1
qwen2audio_eval_only_en_zh_bnb_int8_maxnew64,baseline_fp16_eval,eval,416,272.6783459186554,0.7791628381237388,,,,,,Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/baseline_fp16_eval_summary.csv,live,0,,0.6554767930736909,Translate this English speech into Chinese.,16.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/baseline_fp16_eval_preds.csv,none,fp16,,,,,,,,,,,,,eval,,,,,fp16_baseline,fp16,,,,,14.436,14.436,1.0,none,0.7791628381237388,0.0,1,0,1
custom_selected_linear_structured_pruning_codec_eval_only_en_zh,selected_linear_structured_pruning_codec_eval,eval,416,356.1401753425598,0.5871149682296584,15500451840.0,,1.8000720302329594,estimated_original_linear_layers,,Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_linear_structured_pruning_codec_eval_summary.csv,live,0,2026-03-20 14:53:04.104166+00:00,0.8561061907273072,Translate this English speech into Chinese.,16.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_linear_structured_pruning_codec_eval_preds.csv,,,,2.0,3.0,,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_layers_before_pruning.json,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_linear_structured_pruning_codec_storage_report.csv,selected_layer_structured_pruning_plus_codec,0.2,magnitude,True,8611017548.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_layer_structured_pruning_policy.csv,,,,,,selected_layer_structured_pruning_plus_codec,nan,15500451840.0,,14.435920715332031,,14.436,,1.8000720302329594,selected_layer_structured_pruning_plus_codec,0.7791628381237388,-0.1920478698940804,0,0,1
qwen2audio_eval_only_en_zh_bnb_int8_maxnew64,quantized_int8_eval,eval,416,1050.8985221385956,0.77519199395409,,,,,,Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/quantized_int8_eval_summary.csv,live,0,,2.5261983705254702,Translate this English speech into Chinese.,16.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/quantized_int8_eval_preds.csv,bitsandbytes_int8,int8,,,,,,,,,,,,,eval,,,,,bitsandbytes_int8,int8,,,,,14.436,,,bitsandbytes_int8,0.7791628381237388,-0.003970844169648768,0,0,1
custom_codec_selected_linear_eval_only_en_zh,selected_linear_codec_eval,eval,416,310.144478559494,0.7763646938479863,,,1.7140175192773484,,"Selected layers custom codec: Quantize(digits=2, astype=""f2"") + Zstd",Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs-backup/experiment_results/custom_codec_selected_linear_eval_only_en_zh/selected_linear_codec_eval_summary.csv,backup,1,2026-03-18 22:13:06.911255+00:00,0.7455396119218606,Translate this English speech into Chinese.,16.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_codec_selected_linear_eval_only_en_zh/selected_linear_codec_eval_preds.csv,custom_selected_linear_codec,custom,,,,,,,,,,,,,eval,15500451840.0,9043345045.0,1.7140175192773484,,custom_selected_linear_codec,custom,15500451840.0,9043345045.0,14.435920715332031,8.42227139044553,14.436,8.42227139044553,1.7140269329692484,custom_selected_linear_codec,0.7791628381237388,-0.0027981442757524233,1,0,1
custom_codec_global_q2_zstd_eval_only_en_zh,custom_codec_global_eval,eval,416,349.2472999095917,0.7410914550463741,,,3.9790670373477313,,"Global custom codec: Quantize(digits=2, astype=""f2"") + Zstd",Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs-backup/experiment_results/custom_codec_global_q2_zstd_eval_only_en_zh/custom_codec_global_eval_summary.csv,backup,1,,,,,,,,,,,,,,,,,,,,,15500451840.0,3895499044.0,3.9790670373477313,,global_codec,nan,15500451840.0,3895499044.0,14.435920715332031,3.6279661990702152,14.436,3.6279661990702152,3.979088891098185,global_codec,0.7791628381237388,-0.038071383077364684,1,0,1
qwen2audio_eval_only_en_zh_bnb_int8_maxnew64,baseline_fp16_eval,eval,416,272.6783459186554,0.7791628381237388,,,,,,Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs-backup/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/baseline_fp16_eval_summary.csv,backup,1,,0.6554767930736909,Translate this English speech into Chinese.,16.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/baseline_fp16_eval_preds.csv,none,fp16,,,,,,,,,,,,,eval,,,,,fp16_baseline,fp16,,,,,14.436,14.436,1.0,none,0.7791628381237388,0.0,1,0,1
qwen2audio_eval_only_en_zh_bnb_int8_maxnew64,quantized_int8_eval,eval,416,1050.8985221385956,0.77519199395409,,,,,,Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs-backup/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/quantized_int8_eval_summary.csv,backup,1,,2.5261983705254702,Translate this English speech into Chinese.,16.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/qwen2audio_eval_only_en_zh_bnb_int8_maxnew64/quantized_int8_eval_preds.csv,bitsandbytes_int8,int8,,,,,,,,,,,,,eval,,,,,bitsandbytes_int8,int8,,,,,14.436,,,bitsandbytes_int8,0.7791628381237388,-0.003970844169648768,0,0,1
custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh,selected_layer_codec_all_selected_q3_eval,eval,416,309.2017207145691,0.7766893485274452,,,1.0,,Selected-layer codec subset=all_selected q3 + Zstd,Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs-backup/experiment_results/custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh/selected_layer_codec_eval_summary.csv,backup,1,2026-03-19 17:28:32.630504+00:00,0.7432733671023295,Translate this English speech into Chinese.,16.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh/selected_layer_codec_eval_preds.csv,custom_selected_linear_codec,custom,all_selected,3.0,3.0,96.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh/selected_layers.json,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_codec_all_selected_q3_zstd_eval_only_en_zh/selected_layer_codec_storage_report.csv,,,,,,,,6843408384.0,6843408384.0,1.0,,custom_selected_linear_codec,custom,6843408384.0,6843408384.0,6.373420715332031,6.373420715332031,14.436,6.373420715332031,2.2650317066426298,custom_selected_linear_codec,0.7791628381237388,-0.0024734895962935655,1,1,1
custom_selected_linear_structured_pruning_codec_eval_only_en_zh,selected_linear_structured_pruning_codec_eval,eval,416,359.7577109336853,0.5871149682296584,,,1.0,,,Qwen/Qwen2-Audio-7B-Instruct,64,,,/home/paperspace/projects/iwslt2026-compression/outputs-backup/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_linear_structured_pruning_codec_eval_summary.csv,backup,1,2026-03-19 17:06:55.093919+00:00,0.8648021897444358,Translate this English speech into Chinese.,16.0,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_linear_structured_pruning_codec_eval_preds.csv,,,,2.0,3.0,,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_layers_before_pruning.json,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_linear_structured_pruning_codec_storage_report.csv,selected_layer_structured_pruning_plus_codec,0.2,magnitude,True,,/home/paperspace/projects/iwslt2026-compression/outputs/experiment_results/custom_selected_linear_structured_pruning_codec_eval_only_en_zh/selected_layer_structured_pruning_policy.csv,,6843408384.0,,1.0,6843408384.0,selected_layer_structured_pruning_plus_codec,nan,6843408384.0,,6.373420715332031,,14.436,,,selected_layer_structured_pruning_plus_codec,0.7791628381237388,-0.1920478698940804,0,1,1
